row ID,row m/z,row retention time,X072067ALC.dataCompass.mzXML Peak area,X072069ALC.dataCompass.mzXML Peak area,X072068ALC.dataCompass.mzXML Peak area,
12,457.27724392730687,13.233544444444446,428055.6805000034,322185.018000001,324184.40200000186,
13,559.1306383142031,16.74585,357788.9144999991,98901.27049999841,40027.000499999944,
414,727.3882198863846,17.500133333333334,0,0,435567.79499999376,
10,337.2350876401893,16.34727222222222,575196.5219999918,214928.97949999454,100881.68749999872,
11,783.607959124923,17.742016666666665,362597.35550000274,0,0,
16,313.27590857333973,16.154866666666667,174761.86050000327,633084.1225000025,72025.2759999997,
17,628.2168503784427,17.389366666666668,97489.71950000146,0,0,
18,310.3165685306091,17.34726111111111,165079.84199999925,1413057.931500014,1780660.5780000049,
14,781.2073765134443,18.609838888888888,255833.8004999966,20028.218999998655,18329.792999999638,
15,443.23263524771403,11.36205,289111.03649999906,0,0,
5,803.5777650076852,17.742016666666665,732849.4760000046,0,0,
6,245.0787679397479,10.26035,999800.9920000003,427894.16900000116,154920.945,
8,338.34013189879005,17.119111111111113,787986.388499988,266403.85650001076,344012.26199999463,
9,226.18017973255073,8.573383333333332,516726.04900000285,590698.4940000018,491695.2215000018,
7,408.3079059319496,16.973983333333333,576328.8520000046,364267.45799997495,48723.44199999818,
272,532.3652447063969,18.259258333333335,0,261148.02449999878,4365.196000000036,
3,393.31454211849586,17.76275,2073107.3355000077,0,0,
135,270.2794138714357,16.683622222222223,18536.430499999995,777887.2045000006,730059.4359999971,
4,406.32964567963245,17.112194444444444,1309103.2594999804,1220534.9814999977,387967.905000002,
433,259.24174096632805,16.056475,0,1234.9479999999849,762927.6864999968,
1,413.28431102583534,17.742016666666665,3006341.684500019,0,0,
2,381.3096689713064,17.202533333333335,1572948.7840000035,0,0,
380,859.3875200977785,16.794272222222222,167.94000000001284,1021.4479999999221,825070.531499999,
443,815.435588662179,18.26745,0,0,461141.05700000154,
340,733.3564569021296,17.15438333333333,213.21200000001227,0,1006916.8405000218,
421,567.5869655219387,17.222516666666664,0,46527.128999999695,515001.7870000018,
422,443.3151359012341,17.935733333333335,0,0,687229.9979999884,
265,597.4381170420859,18.819216666666666,347.6125000000121,239441.15950000266,0,
221,315.1950896194219,7.363475,0,458076.8260000007,35630.394000000066,
426,593.2757925075907,16.939400000000003,779.9939999999989,37712.645999999724,659895.1879999873,
23,563.5512823739125,16.2998,0,1748667.1705000263,3320199.395500017,
384,813.422442554838,17.112900000000003,715.7639999999902,0,810674.3255000042,
172,775.4392893336357,14.647233333333332,40.031999999997424,587950.3745000003,905.3409999999943,
515,694.4647182971544,15.976750000000001,0,0,389954.4340000044,
571,915.7664395178135,19.117466666666665,0,0,256256.8275000007,
564,414.3209551426963,15.465491666666667,237.10050000000257,0,328218.5755,
216,459.3247558483905,17.944725,6261.313999999885,673044.6424999963,0,
395,671.3215994519292,17.12602777777778,526.0835000000411,1425.6160000000068,836255.3575000074,
440,425.15678101097336,9.369283333333335,310.6630000000058,0,667973.0670000009,
417,869.3956274062409,17.562283333333333,302.41400000003046,0,714193.2559999903,
321,800.3964674216318,16.697444444444443,166.07400000000462,342.5514999999941,1104822.4789999954,
402,906.462975488321,16.393116666666664,0,261.5504999999986,830008.3125000068,
382,733.3409516709712,15.814891666666668,154.4459999999993,0,1070446.7094999945,
375,906.4643974719033,16.255983333333333,0,0,957396.8090000246,
583,777.3967137785578,18.122316666666666,0,0,221465.06599999772,
562,871.4214218150775,16.981766666666665,0,0,333366.5169999967,
516,671.386530323532,17.69935,0,2656.509000000171,297969.0780000021,
496,345.0971295062309,9.867641666666666,0,290.4819999999945,485181.0115000056,
418,799.4432907351578,18.37111666666667,0,0,597513.6320000055,
347,513.2091891016428,13.921041666666667,0,266.5724999999987,1494939.0750000016,
246,573.4497593997703,19.532016666666667,650.1185000000007,453107.84550000296,0,
273,649.4087600409731,15.389677777777777,126.35099999999835,195154.95649999945,7228.9990000000025,
161,469.27249635328485,18.017241666666667,1564.4619999999334,664070.1339999925,0,
263,797.5245570329945,18.207441666666668,0,241800.25049999967,503578.8835000027,
266,533.5006223049182,15.986716666666666,148.03599999998983,165700.31799999936,358680.72050000186,
209,319.16683257054365,14.33285,0,572008.0669999969,0,
