row ID,row m/z,row retention time,X072067ALC.dataCompass.mzXML Peak area,X072069ALC.dataCompass.mzXML Peak area,X072068ALC.dataCompass.mzXML Peak area,
1,413.2847442626953,17.742016666666665,2997124.8625000184,0,0,
2,381.3096008300781,17.202533333333335,1572948.7840000035,0,0,
3,393.3150329589844,17.76275,2052543.576000007,0,0,
4,226.96316528320312,20.997416666666666,764899.8765000235,0,0,
5,226.9669189453125,20.900083333333335,426965.1584999678,0,0,
6,226.96316528320312,19.735633333333332,1164973.7390000075,0,0,
7,226.95624542236328,19.62679166666667,938226.3720000066,0,284967.95300000295,
8,245.07913970947266,10.258066666666668,991327.2650000004,0,0,
9,411.0937805175781,13.9067,860332.2320000044,0,0,
10,226.9669189453125,18.93841666666667,929490.4474999912,0,0,
11,408.3084945678711,16.97009166666667,576328.8520000046,791771.2149999837,0,
12,485.1123962402344,15.514183333333333,763768.275000006,0,0,
13,166.10267639160156,17.181833333333334,955624.040000004,0,0,
14,158.9763946533203,20.7958,777229.9785000278,0,0,
15,158.9732208251953,20.760983333333336,326255.6490000007,0,0,
16,158.96746826171875,19.617683333333332,866097.8255000034,0,0,
17,158.9700469970703,19.652316666666664,505851.71849999926,0,0,
18,158.9732208251953,19.7702,563041.2380000048,0,0,
19,250.17822265625,16.995250000000002,496644.52600000263,0,0,
20,177.0547637939453,10.258066666666668,546316.6455000009,0,0,
21,223.06390380859375,9.417333333333334,550147.5619999944,0,0,
22,337.23492431640625,16.33855,553625.7604999912,0,0,
23,167.07040405273438,11.458916666666665,577655.9780000015,0,0,
24,353.2776184082031,16.193183333333334,302164.9499999941,0,0,
25,457.27674865722656,13.22715,398889.70900000376,0,0,
26,195.10179138183594,11.458916666666665,565798.4800000014,0,0,
27,225.19642639160156,9.930133333333334,441583.97549999936,0,0,
28,685.4366455078125,20.64333333333333,473381.0460000019,0,0,
29,338.3609313964844,18.357266666666664,540520.8505000024,0,0,
30,685.4592895507812,19.700833333333332,499808.3935000036,0,0,
31,362.9440612792969,20.997416666666666,251341.4825000077,0,0,
32,362.9504089355469,20.92096666666667,239101.8209999982,0,0,
33,362.9504089355469,20.768016666666664,168204.10200000493,0,0,
34,362.9251708984375,20.580966666666665,365166.4785000023,0,0,
35,294.9576110839844,20.768016666666664,158527.12899999972,0,0,
36,166.10484313964844,19.75635,277155.9525000026,0,0,
37,166.1083984375,20.7958,155336.47100000482,0,0,
38,166.09689331054688,20.57395,336486.19150000147,0,0,
39,166.1023712158203,19.67305,415815.56000000477,0,0,
40,294.9464111328125,19.67305,450032.6000000038,0,0,
41,641.5012817382812,17.430883333333334,303969.04099999985,0,0,
42,430.9416198730469,20.900083333333335,180315.67149999886,0,0,
43,294.9469299316406,19.45815,168609.44849999747,0,0,
44,362.9440612792969,19.735633333333332,311958.661500002,0,0,
45,430.94158935546875,20.768016666666664,123929.72350000369,0,0,
46,430.9117126464844,20.580966666666665,267157.17900000146,0,0,
47,362.9504089355469,19.09125,221978.91150000115,0,0,
48,294.9469299316406,18.5233,154278.27749999822,0,0,
49,223.06390380859375,13.9067,141701.56950000074,0,0,
50,158.1540756225586,11.890966666666666,95528.77550000056,0,0,
51,207.12435913085938,6.757833333333333,136222.65000000029,0,124346.68749999965,
52,430.4399719238281,17.712016666666667,0,2476889.3904999727,0,
53,430.4338684082031,17.628966666666667,0,1933419.120000016,0,
54,589.3727416992188,17.007133333333332,0,2139095.6785000167,0,
55,473.3027038574219,16.882766666666665,0,2449980.0890000216,0,
56,563.5513763427734,16.2998,0,1743855.9335000266,3303145.7005000166,
57,470.2749786376953,11.160400000000001,0,1881362.5244999994,0,
58,461.2511901855469,13.275183333333333,0,2648299.420999991,0,
59,412.26971435546875,11.968916666666667,0,2150540.373000003,0,
60,469.33164978027344,10.7044,0,2051105.0610000105,0,
61,433.21986389160156,9.89585,0,1932887.3144999973,0,
62,565.3572998046875,18.1889,0,1261129.7999999977,0,
63,475.23028564453125,11.616483333333333,0,1869170.6309999973,0,
